city,author,tags,url,title,articleid,date,categories
mumbai ,Special Correspondent,"['other sports', 'badminton']",https://www.thehindu.com/sport/other-sports/ashmita-lakshya-in-final/article25644200.ece,Ashmita Lakshya in final,25644200,2018-12-01,['other sports']
gonda (up),PTI,"['other sports', 'wrestling']",https://www.thehindu.com/sport/other-sports/vinesh-sakshi-end-season-on-a-high/article25644171.ece,Vinesh Sakshi end season on a high,25644171,2018-12-01,['other sports']
nassau (bahamas),Rakesh Rao,['other sports'],https://www.thehindu.com/sport/other-sports/tiger-woods-escapes-penalty/article25643958.ece,Tiger Woods escapes penalty,25643958,2018-12-01,['other sports']
nassau (bahamas),Rakesh Rao,"['sport', 'other sports', 'golf']",https://www.thehindu.com/sport/other-sports/hero-world-challenge-rahm-and-stenson-ahead-by-a-stroke-reed-slips-13-spots/article25643936.ece,Hero World Challenge: Rahm and Stenson ahead by a stroke; Reed slips 13 spots,25643936,2018-12-01,['other sports']
,P.K. Ajith Kumar,"['sport', 'other sports', 'chess']",https://www.thehindu.com/sport/other-sports/magnus-carlsen-still-the-king/article25642487.ece,Magnus Carlsen: Still the king,25642487,2018-12-01,['other sports']
bengaluru:,,['races'],https://www.thehindu.com/sport/races/oomph-claims-bangalore-1000-guineas/article25643973.ece,Oomph claims Bangalore 1000 Guineas,25643973,2018-12-01,['races']
hyderabad:,,"['races', 'horse racing']",https://www.thehindu.com/sport/races/leading-legend-runs-with-a-good-chance/article25643131.ece,Leading Legend runs with a good chance,25643131,2018-12-01,['races']
mumbai:,,"['races', 'horse racing']",https://www.thehindu.com/sport/races/its-cambridge-vs-caprisca/article25642873.ece,It’s Cambridge vs Caprisca,25642873,2018-12-01,['races']
mumbai:,,"['races', 'horse racing']",https://www.thehindu.com/sport/races/ruffina-majestic-warrior-please/article25642715.ece,Ruffina Majestic Warrior please,25642715,2018-12-01,['races']
kottayam ,Staff Reporter,['kerala'],https://www.thehindu.com/news/nagampadam-rob-opens-to-traffic/article25645100.ece,Nagampadam ROB opens to traffic,25645100,2018-12-01,['news']
alappuzha,Staff Reporter,['kerala'],https://www.thehindu.com/news/preparations-under-way-for-state-school-arts-fete/article25645085.ece,Preparations under way for State school arts fete,25645085,2018-12-01,['news']
,,"['heads of state', 'death', 'usa', 'hindi cinema', 'wedding', 'celebrity', 'tamil cinema', 'haryana', 'corruption & bribery', 'fraud']",https://www.thehindu.com/news/top-news-of-december-1-2018-nirav-modi-cannot-return-as-he-is-afraid-of-getting-lynched-former-us-president-george-hw-bush-dies-and-more/article25643155.ece,Top news of the day: Nirav Modi cannot return ‘as he is afraid of getting lynched’ former U.S. President George H.W. Bush dies and more,25643155,2018-12-01,['news']
,The Hindu Net Desk,"['national', 'human interest', 'summit', 'entertainment (general)', 'national politics']",https://www.thehindu.com/news/morning-digest-at-g20-summit-india-presents-9-point-agenda-on-fugitive-economic-offenders-cec-rawat-on-fake-news-and-more/article25640484.ece,Morning digest: At G20 Summit India presents 9-point agenda on fugitive economic offenders CEC Rawat on fake news and more,25640484,2018-12-01,['news']
buenos aires: ,AFP,"['international', 'human interest', 'funeral', 'usa']",https://www.thehindu.com/news/international/trump-to-attend-george-h-w-bushs-funeral-white-house/article25643999.ece,Trump to attend George H W Bush’s funeral: White House,25643999,2018-12-01,['international']
buenos aires: ,AFP,"['international', 'saudi arabia', 'international relations', 'g20']",https://www.thehindu.com/news/international/mbs-mingles-with-g20-leaders-as-trump-fuels-summit-tensions/article25643989.ece,MBS mingles with G20 leaders as Trump fuels summit tensions,25643989,2018-12-01,['international']
washington,Reuters,['international'],https://www.thehindu.com/news/international/us-invests-on-exoskeletons-to-build-super-soldiers/article25643803.ece,U.S. invests on exoskeletons to build ‘super-soldiers’,25643803,2018-12-01,['international']
new york,AFP,['international'],https://www.thehindu.com/news/international/forget-the-snacks-gift-goats-to-the-poor/article25643743.ece,Forget the snacks: gift goats to the poor,25643743,2018-12-01,['international']
aden,AFP,"['international', 'human interest', 'unrest, conflicts and war', 'yemen']",https://www.thehindu.com/news/international/yemen-on-the-brink-of-a-catastrophe/article25643684.ece,‘Yemen on the brink of a catastrophe’,25643684,2018-12-01,['international']
paris,Reuters,"['international', 'france']",https://www.thehindu.com/news/international/122-held-as-french-police-clash-with-yellow-vest-protesters/article25643639.ece,122 held as French police clash with ‘yellow vest’ protesters,25643639,2018-12-01,['international']
islamabad:,AP,"['international', 'pakistan']",https://www.thehindu.com/news/international/pakistan-clerics-in-blasphemy-case-to-face-treason-charges/article25643607.ece,Pakistan clerics in blasphemy case to face treason charges,25643607,2018-12-01,['international']
kathmandu,AFP,"['international', 'myanmar']",https://www.thehindu.com/news/international/suu-kyi-calls-for-culture-of-peace-but-avoids-mention-of-rohingya/article25643546.ece,Suu Kyi calls for ‘culture of peace’ but avoids mention of Rohingya,25643546,2018-12-01,['international']
,Vidya Ram,['international'],https://www.thehindu.com/news/international/why-the-road-ahead-for-brexit-is-going-to-be-hard/article25643539.ece,Why the road ahead for Brexit is going to be hard,25643539,2018-12-01,['international']
washington,AFP,"['health', 'international', 'children']",https://www.thehindu.com/news/international/kids-may-be-overdiagnosed-with-attention-disorder-study/article25643515.ece,Kids may be ‘overdiagnosed’ with attention disorder: study,25643515,2018-12-01,['international']
east meon,AP,"['sci-tech', 'international', 'science and technology', 'united kingdom']",https://www.thehindu.com/news/international/a-farmers-new-friend-robot-in-the-farmland/article25643324.ece,A farmer’s new friend: robot in the farmland,25643324,2018-12-01,['international']
,Ruchi Kumar,['international'],https://www.thehindu.com/news/international/afghanistans-battle-against-warlords/article25643119.ece,Afghanistan’s battle against warlords,25643119,2018-12-01,['international']
,Meera Srinivasan,['international'],https://www.thehindu.com/news/international/a-test-for-sri-lankas-bureaucracy/article25643102.ece,A test for Sri Lanka’s bureaucracy,25643102,2018-12-01,['international']
,Vidya Ram,['international'],https://www.thehindu.com/news/international/call-for-the-return-of-hakananaia/article25643092.ece,Call for the return of Hakananai’a,25643092,2018-12-01,['international']
,Atul Aneja,['international'],https://www.thehindu.com/news/international/death-of-a-nuclear-scientist/article25643077.ece,Death of a nuclear scientist,25643077,2018-12-01,['international']
,Marwan Hisham,['international'],https://www.thehindu.com/news/international/the-final-battle-against-is-in-syria/article25643046.ece,The final battle against IS in Syria,25643046,2018-12-01,['international']
lahore:,PTI,"['international', 'bailouts', 'national politics', 'pakistan']",https://www.thehindu.com/news/international/imran-khan-should-resign-for-lying-secretly-agreeing-to-imfs-condition-pml-n/article25642702.ece,Imran Khan should resign for lying secretly agreeing to IMF’s condition: PML-N,25642702,2018-12-01,['international']
juba (south sudan): ,AP,"['international', 'human rights', 'sexual assault & rape', 'south sudan']",https://www.thehindu.com/news/international/125-women-girls-raped-whipped-and-clubbed-in-south-sudan/article25642556.ece,125 women girls raped whipped and clubbed in South Sudan,25642556,2018-12-01,['international']
islamabad:,PTI,"['international', 'national politics', 'pakistan']",https://www.thehindu.com/news/international/imran-khan-govt-has-no-vision-pml-n/article25642358.ece,Imran Khan govt has no vision: PML-N,25642358,2018-12-01,['international']
dera ismail khan (pakistan): ,AP,"['international', 'act of terror', 'pakistan']",https://www.thehindu.com/news/international/local-taliban-commander-killed-in-shootout-in-pakistan/article25642302.ece,Local Taliban commander killed in shootout in Pakistan,25642302,2018-12-01,['international']
moscow:,Reuters,"['international', 'international relations', 'russia', 'usa']",https://www.thehindu.com/news/international/gorbachev-hails-late-george-hw-bushs-role-in-ending-cold-war/article25642268.ece,Gorbachev hails late George H.W. Bush’s role in ending Cold War,25642268,2018-12-01,['international']
peshawar/islamabad:,Reuters,"['international', 'human interest', 'national politics', 'pakistan']",https://www.thehindu.com/news/international/pakistan-lawmakers-critical-of-army-barred-from-leaving-the-country-briefly-detained/article25642209.ece,Pakistan lawmakers critical of army barred from leaving the country briefly detained,25642209,2018-12-01,['international']
paris:,AP,"['international', 'taxes and duties', 'police', 'demonstration', 'france']",https://www.thehindu.com/news/international/french-protesters-angry-about-taxes-scuffle-with-police/article25642130.ece,French protesters angry about taxes scuffle with police,25642130,2018-12-01,['international']
bucharest:,AP,"['international', 'international relations', 'national politics', 'human interest', 'romania']",https://www.thehindu.com/news/international/romania-celebrates-100th-birthday-amid-rule-of-law-concerns/article25641984.ece,Romania celebrates 100th birthday amid rule of law concerns,25641984,2018-12-01,['international']
,AP,"['international', 'usa']",https://www.thehindu.com/news/international/obituary-george-hw-bush-man-with-the-golden-resume/article25641408.ece,Obituary: George H.W. Bush man with the golden resumé,25641408,2018-12-01,['international']
washington,Sriram Lakshman,"['international', 'immigration', 'usa']",https://www.thehindu.com/news/international/us-proposes-changes-to-h-1b-visas/article25641062.ece,U.S. proposes changes in H-1B application process,25641062,2018-12-01,['international']
,AFP,"['international', 'usa']",https://www.thehindu.com/news/international/former-us-president-george-h-w-bush-dead/article25640845.ece,Former US President George H.W. Bush dead at 94,25640845,2018-12-01,['international']
colombo,Meera Srinivasan,"['international', 'sri lanka']",https://www.thehindu.com/news/international/tna-urges-sirisena-to-take-a-swift-considered-decision/article25638187.ece,TNA urges Sirisena to take a swift considered decision,25638187,2018-12-01,['international']
,P. KRISHNA GOPINATH,['society'],https://www.thehindu.com/society/between-the-poor-and-the-powerful/article25642754.ece,Between the poor and the powerful,25642754,2018-12-01,['society']
,Jerry Pinto,"['society', 'water', 'water (natural resource)', 'people', 'society']",https://www.thehindu.com/society/we-invented-recycling-but-why-are-we-so-wasteful-with-water/article25642682.ece,We invented recycling but why are we so wasteful with water?,25642682,2018-12-01,['society']
,Bob Jones,"['society', 'games', 'society']",https://www.thehindu.com/society/another-roadmap/article25642468.ece,Another roadmap,25642468,2018-12-01,['society']
,Peter Griffin,['society'],https://www.thehindu.com/society/rebel-with-a-pause/article25641785.ece,Rebel with a pause,25641785,2018-12-01,['society']
mumbai,Special Correspondent,['business'],https://www.thehindu.com/business/ilfs-in-talks-to-get-ethiopia-hostages-freed/article25643771.ece,‘IL&FS in talks to get Ethiopia hostages freed’,25643771,2018-12-01,['business']
,K. Bharat Kumar,"['interview', 'business', 'c.e.o. interview']",https://www.thehindu.com/business/cameras-will-soon-be-marking-your-attendance/article25643762.ece,‘Cameras will soon be marking your attendance’,25643762,2018-12-01,['business']
chennai,N Anand,"['business', 'economy, business and finance']",https://www.thehindu.com/business/innovative-foods-targets-250-cr-revenue-in-3-years/article25643761.ece,Innovative Foods targets ₹250 cr. revenue in 3 years,25643761,2018-12-01,['business']
chennai,Sanjay Vijayakumar,['business'],https://www.thehindu.com/business/set-norms-for-creditors-panel-nclt/article25643749.ece,Set norms for creditors’ panel: NCLT,25643749,2018-12-01,['business']
dera baba nanak (india)/ kartarpur (pakistan) ,Suhasini Haidar,"['national', 'india-pakistan', 'sikhism']",https://www.thehindu.com/news/national/time-travelling-on-the-corridor-to-kartarpur-shrine/article25644911.ece,Time-travelling on the corridor to Kartarpur shrine,25644911,2018-12-01,['national']
chennai,T. Ramakrishnan,"['international', 'national', 'state politics', 'tamil nadu', 'kidnapping', 'heads of state', 'death', 'india-united states', 'india-sri lanka']",https://www.thehindu.com/news/national/when-a-kidnap-marred-george-hw-bushs-only-india-visit/article25644373.ece,When a kidnap marred George H.W. Bush’s only India visit,25644373,2018-12-01,['national']
new delhi ,Special Correspondent,['national'],https://www.thehindu.com/news/national/central-guidelines-for-crches-at-workplaces/article25644276.ece,Central guidelines for crèches at workplaces,25644276,2018-12-01,['national']
jaipur,PTI,"['elections', 'rajasthan 2018', 'national', 'rajasthan']",https://www.thehindu.com/news/national/rajasthan-assembly-elections-2018-what-kind-of-hindu-is-our-prime-minister-asks-rahul-gandhi/article25643903.ece,What kind of Hindu is our Prime Minister asks Rahul Gandhi,25643903,2018-12-01,['national']
new delhi,Legal Correspondent,"['national', 'supreme court', 'judge']",https://www.thehindu.com/news/national/cji-led-supreme-court-bench-declines-to-review-its-2015-njac-verdict/article25643621.ece,CJI-led Supreme Court Bench declines to review its 2015 NJAC verdict,25643621,2018-12-01,['national']
