city,articleids
,"['25642487', '25643155', '25640484', '25643539', '25643119', '25643102', '25643092', '25643077', '25643046', '25641408', '25640845', '25642754', '25642682', '25642468', '25641785', '25643762', '25643529', '25637223', '25641499', '25641485', '25641459', '25641397', '25641392', '25641378', '25641353', '25641336', '25637800', '25644678', '25642148', '25641737', '25644588', '25640471', '25637469', '25642227', '25643604', '25642050', '25640538', '25642447', '25645056', '25644924', '25644357', '25641833', '25641764', '25642075', '25638633', '25638367', '25641680', '25644015', '25643918', '25643892', '25643864', '25643797', '25643765', '25643745', '25642680', '25637457', '25637376', '25637382', '25637451', '25637829', '25637828', '25637827', '25637825', '25643018', '25642993', '25642929', '25642907', '25642880', '25642866', '25642842', '25642814', '25642535', '25641792', '25643556', '25638193', '25638127', '25638085', '25638037', '25637994', '25642376', '25642593', '25640972', '25644513', '25642424', '25635340', '25635323', '25635269', '25635116', '25643791', '25642743', '25642700', '25642413', '25642366', '25648802', '25648616', '25643672', '25643682', '25643708', '25643719', '25648501', '25646488', '25648801', '25648727', '25648684', '25648581', '25648030', '25647712', '25649303', '25649296', '25649292', '25649288', '25649380', '25649078', '25649486', '25647348', '25645287', '25645223', '25645221', '25648611', '25649466', '25649455', '25644338', '25644380', '25649281', '25653666', '25652233', '25652410', '25641444', '25641411', '25641525', '25641510', '25655668', '25654494', '25653925', '25653881', '25653830', '25653591', '25649786', '25649759', '25649314', '25650497', '25653869', '25657149', '25657139', '25653148', '25652599', '25654686', '25654646', '25653570', '25653523', '25655795', '25655750', '25655619', '25655573', '25655506', '25655473', '25654822', '25652285', '25656943', '25653823', '25648760', '25648746', '25648741', '25649263', '25649253', '25649254', '25656154', '25655953', '25655884', '25650027', '25649973', '25654398', '25649259', '25648753', '25654332', '25653160', '25652788', '25649926', '25649753', '25648743', '25653609', '25657081', '25652764', '25649766', '25654185', '25653545', '25653110', '25652841', '25652895', '25652859', '25661581', '25664087', '25660269', '25653977', '25660907', '25662088', '25662500', '25663001', '25662741', '25665696', '25656535', '25661947', '25641374', '25663482', '25661047', '25664031', '25662870', '25663016', '25666024', '25666004', '25665986', '25662097', '25664054', '25657736', '25657694', '25665866', '25665854', '25665666', '25665455', '25664916', '25664730', '25664671', '25664656', '25664408', '25664347', '25664305', '25664280', '25664257', '25664235', '25656258', '25656342', '25656182', '25656222', '25656407', '25657095', '25657070', '25657089', '25666073', '25665868', '25665827', '25665809', '25665775', '25665458', '25665408', '25665310', '25665164', '25664847', '25664737', '25664658', '25664617', '25662039', '25657528', '25661474', '25656191', '25663573', '25663491', '25663985', '25662589', '25657683', '25657644', '25657567', '25662506', '25662121', '25663190', '25661129', '25671914', '25672781', '25668506', '25668913', '25671225', '25670721', '25669088', '25674317', '25670150', '25673482', '25665563', '25666501', '25674211', '25672840', '25671197', '25671036', '25670561', '25670425', '25670389', '25669373', '25669330', '25668578', '25670062', '25671358', '25671308', '25674230', '25666913', '25666857', '25671241', '25671086', '25670304', '25671277', '25670178', '25674537', '25673772', '25673364', '25673059', '25672929', '25672772', '25672620', '25664952', '25664838', '25665817', '25665782', '25665759', '25674640', '25674633', '25674242', '25674201', '25674079', '25673644', '25672790', '25665072', '25665791', '25666675', '25666635', '25666602', '25666569', '25666517', '25671189', '25664802', '25663429', '25669519', '25671074', '25670666', '25670344', '25670297', '25670250', '25670229', '25666768', '25673913', '25668937', '25681110', '25677405', '25677967', '25677634', '25675279', '25680231', '25680223', '25680151', '25680141', '25678497', '25677731', '25679585', '25680236', '25681891', '25677596', '25675144', '25675128', '25681948', '25675268', '25675259', '25680016', '25680504', '25680393', '25679532', '25678977', '25682964', '25678782', '25680564', '25680181', '25681652', '25681641', '25680704', '25680459', '25680419', '25680371', '25680260', '25680239', '25679947', '25680484', '25681551', '25678707', '25674224', '25673218', '25674237', '25673202', '25674360', '25674347', '25674348', '25678291', '25674900', '25674355', '25681571', '25679623', '25679462', '25679378', '25679262', '25679234', '25678566', '25673207', '25678650', '25681218', '25681193', '25681154', '25679448', '25680233', '25680027', '25680110', '25679093', '25680311', '25679164', '25678522', '25678350', '25690167', '25691374', '25686402', '25691487', '25687003', '25688381', '25690758', '25688406', '25687658', '25691730', '25691392', '25690210', '25690186', '25690130', '25690023', '25689757', '25689502', '25688315', '25687735', '25687530', '25686926', '25681583', '25682986', '25691352', '25689129', '25688827', '25688440', '25679143', '25683156', '25688543', '25681500', '25679003', '25690870', '25693202', '25689956', '25690415', '25689186', '25688426', '25679663', '25679106', '25679067', '25679033', '25691660', '25689532', '25688958', '25688566', '25691975', '25693237', '25693195', '25692998', '25692707', '25692673', '25692300', '25692108', '25691452', '25691425', '25691340', '25691309', '25683067', '25682726', '25682722', '25682713', '25682672', '25682716', '25682717', '25692835', '25692504', '25692415', '25692024', '25691811', '25691708', '25689274', '25686384', '25692480', '25690295', '25690249', '25690235', '25690205', '25690184', '25690148', '25690122', '25690111', '25690067', '25690063', '25690057', '25690042', '25690036', '25690025', '25689990', '25689962', '25689949', '25689815', '25689144', '25683299', '25682710', '25683908', '25683907', '25682715', '25683650', '25683626', '25683610', '25683487', '25683479', '25683463', '25683308', '25691594', '25689720', '25689082', '25688631', '25688224', '25682719', '25688024', '25688744', '25689117', '25688201', '25688065', '25682745', '25686278', '25687261', '25689009', '25687220', '25687236', '25679806', '25681614', '25681773', '25687603']"
panagal,['25649423']
gurugram ,"['25650485', '25675409']"
pti,['25649127']
puducherry,"['25657205', '25657105', '25657104', '25657093', '25657091', '25657090', '25650271', '25650259', '25675163', '25683071', '25686298', '25683103', '25683093', '25683057']"
ongole,"['25637894', '25644565']"
jagtial,['25646438']
paradise (us):,['25679328']
ariyalur ,['25645153']
kodad (suryapet),['25674475']
